File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\unit\carousel.js,88,75,77,0,13,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\unit\collapse.js,165,127,24,0,38,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\unit\dropdown.js,220,189,16,0,31,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\unit\modal.js,197,179,37,0,18,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\unit\phantom.js,70,43,13,2,12,0,15,63,8,23
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\unit\popover.js,134,108,18,2,26,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\unit\scrollspy.js,38,30,5,0,8,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\unit\tab.js,87,69,17,0,18,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\unit\tooltip.js,438,369,93,0,69,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\unit\transition.js,14,9,3,0,5,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\vendor\jquery.js,6,3,749,0,0,1,3,266,3,15
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\vendor\qunit.js,1511,1168,809,221,190,33,153,1024,9,34
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\vendor\qunit.css,233,156,124,0,58,0,19,71,10,40
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\vendor\jquery-1.9.1.min.js,6,3,737,1,1,2,2,264,2,15
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\vendor\modernizr-2.6.2.min.js,5,1,154,0,1,0,3,12,3,12
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\_includes\ads.html,2,1,0,0,1,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\_includes\footer.html,35,30,11,0,5,1,0,1,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\_includes\header.html,44,37,14,0,7,1,0,5,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\_includes\nav-components.html,138,137,0,0,1,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\_includes\nav-css.html,88,87,0,0,1,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\_includes\nav-customize.html,41,40,0,0,1,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\_includes\nav-getting-started.html,45,44,0,0,1,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\_includes\nav-javascript.html,89,88,0,0,1,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\_includes\nav-main.html,33,32,10,0,1,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\_includes\old-bs-docs.html,9,8,0,0,1,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\_includes\social-buttons.html,17,16,0,0,1,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\_layouts\default.html,77,67,23,0,10,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\_layouts\home.html,47,40,6,0,7,0,0,0,0,0
